corpus,project,symbol,kind,predicted_color,predicted_reason,actual_status,root_blocker
cpp-realworld,extern-plugin,Channel,record,green,admissible,ported,
cpp-realworld,extern-plugin,ns_filter_boxcar,function,green,admissible,ported,
cpp-realworld,extern-plugin,ns_filter_clamp,function,green,admissible,ported,
cpp-realworld,extern-plugin,ns_platform_fault,function,green,admissible,declared,
cpp-realworld,extern-plugin,ns_platform_millis,function,green,admissible,declared,
cpp-realworld,extern-plugin,ns_platform_read_raw,function,green,admissible,declared,
cpp-realworld,extern-plugin,ns_sampler_burst,function,green,admissible,ported,
cpp-realworld,extern-plugin,ns_sampler_open,function,green,admissible,ported,
cpp-realworld,extern-plugin,ns_sampler_sample,function,green,admissible,ported,
cpp-realworld,extern-plugin,tu0_ns_filter_taps,function,green,admissible,ported,
cpp-realworld,fixed-stats,Accum,record,green,admissible,ported,
cpp-realworld,fixed-stats,c_main,function,green,admissible,ported,
cpp-realworld,fixed-stats,ns_fixed_div_count,function,green,admissible,ported,
cpp-realworld,fixed-stats,ns_fixed_from_int,function,green,admissible,ported,
cpp-realworld,fixed-stats,ns_fixed_mul,function,green,admissible,ported,
cpp-realworld,fixed-stats,ns_fixed_to_int_round,function,green,admissible,ported,
cpp-realworld,fixed-stats,ns_stats_mean,function,green,admissible,ported,
cpp-realworld,fixed-stats,ns_stats_push,function,green,admissible,ported,
cpp-realworld,fixed-stats,ns_stats_reset,function,green,admissible,ported,
cpp-realworld,fixed-stats,ns_stats_spread,function,green,admissible,ported,
cpp-realworld,fixed-stats,scaled_reading,function,green,admissible,ported,
cpp-realworld,polygon,Point,record,green,admissible,ported,
cpp-realworld,polygon,bounding_box,function,green,admissible,stubbed,unsupported-stmt:CXXForRangeStmt
cpp-realworld,polygon,c_main,function,green,admissible,stubbed,unsupported-expr:InitListExpr
cpp-realworld,polygon,count_strictly_inside,function,green,admissible,stubbed,unsupported-stmt:CXXForRangeStmt
cpp-realworld,polygon,perimeter_manhattan,function,green,admissible,ported,
cpp-realworld,polygon,shoelace_twice,function,green,admissible,ported,
cpp-realworld,polygon,translate,function,green,admissible,stubbed,unsupported-stmt:CXXForRangeStmt
cpp-realworld,polygon,tu0_abs_int,function,green,admissible,ported,
cpp-realworld,ringbuf-lib,Ring,record,green,admissible,ported,
cpp-realworld,ringbuf-lib,ns_checksum_fold,function,green,admissible,ported,
cpp-realworld,ringbuf-lib,ns_checksum_of_ring,function,green,admissible,ported,
cpp-realworld,ringbuf-lib,ns_frame_encode,function,green,admissible,ported,
cpp-realworld,ringbuf-lib,ns_frame_is_full,function,green,admissible,ported,
cpp-realworld,ringbuf-lib,ns_ring_capacity,function,green,admissible,ported,
cpp-realworld,ringbuf-lib,ns_ring_push,function,green,admissible,ported,
cpp-realworld,ringbuf-lib,ns_ring_recent,function,green,admissible,ported,
cpp-realworld,ringbuf-lib,ns_ring_reset,function,green,admissible,ported,
cpp-realworld,ringbuf-lib,ns_ring_size,function,green,admissible,ported,
cpp-realworld,ringbuf-lib,ns_ring_sum,function,green,admissible,ported,
cpp-realworld,ringbuf-lib,tu0_ns_checksum_scramble,function,green,admissible,ported,
cpp-realworld,shapes,Circle,record,red,inadmissible,dropped,base-class
cpp-realworld,shapes,Rect,record,red,inadmissible,dropped,base-class
cpp-realworld,shapes,RightTriangle,record,red,inadmissible,dropped,base-class
cpp-realworld,shapes,Shape,record,red,inadmissible,dropped,destructor
cpp-realworld,shapes,c_main,function,red,red-type,stubbed,base-class
cpp-realworld,shapes,report,function,red,red-type,dropped,destructor
cpp-realworld,shapes,tu2_isqrt,function,green,admissible,ported,
cpp-realworld,tokenizer,Histogram,record,green,admissible,ported,
cpp-realworld,tokenizer,Lexer,record,green,admissible,ported,
cpp-realworld,tokenizer,TokenKind,enum,green,admissible,ported,
cpp-realworld,tokenizer,c_main,function,green,admissible,ported,
cpp-realworld,tokenizer,tu1_classify,function,green,admissible,ported,
c-realworld,argv-echo,c_main,function,green,admissible,dropped,argv
c-realworld,base64,c_main,function,green,admissible,ported,
c-realworld,binary-tree,Tree,record,green,admissible,ported,
c-realworld,binary-tree,c_main,function,green,admissible,stubbed,pointer-local-nonaddress
c-realworld,binary-tree,tu0_inorder,function,green,admissible,stubbed,self-ref-pointer-member
c-realworld,binary-tree,tu0_insert,function,green,admissible,missing,
c-realworld,calc,add,function,green,admissible,ported,
c-realworld,calc,c_main,function,green,admissible,ported,
c-realworld,calc,mul,function,green,admissible,ported,
c-realworld,calc,sub,function,green,admissible,ported,
c-realworld,crc32,c_main,function,green,admissible,ported,
c-realworld,crc32,tu0_crc32,function,green,admissible,ported,
c-realworld,expr-eval,c_main,function,green,admissible,stubbed,other
c-realworld,expr-eval,tu0_expr,function,green,admissible,stubbed,other
c-realworld,expr-eval,tu0_factor,function,green,admissible,stubbed,other
c-realworld,expr-eval,tu0_number,function,green,admissible,stubbed,other
c-realworld,expr-eval,tu0_p,global,green,admissible,missing,
c-realworld,expr-eval,tu0_term,function,green,admissible,stubbed,other
c-realworld,grep-lite,c_main,function,green,admissible,stubbed,strchr-result-bind
c-realworld,linked-list,Node,record,green,admissible,ported,
c-realworld,linked-list,c_main,function,green,admissible,ported,
c-realworld,logger,c_main,function,green,admissible,ported,
c-realworld,logger,log_msg,function,green,admissible,ported,
c-realworld,logger,tu0_count,global,green,admissible,ported,
c-realworld,malloc-stack,c_main,function,green,admissible,ported,
c-realworld,sieve,c_main,function,green,admissible,ported,
c-realworld,union-find,c_main,function,green,admissible,ported,
c-realworld,union-find,connected,function,green,admissible,missing,
c-realworld,union-find,uf_find,function,green,admissible,missing,
c-realworld,union-find,uf_node,record,green,admissible,ported,
c-realworld,union-find,uf_node_init,function,green,admissible,missing,
c-realworld,union-find,uf_union,function,green,admissible,missing,
c-realworld,word-count,c_main,function,green,admissible,ported,
endtoend,aggregate-init.c,P,record,green,admissible,ported,
endtoend,aggregate-init.c,WithArr,record,green,admissible,ported,
endtoend,aggregate-init.c,c_main,function,green,admissible,ported,
endtoend,aggregate-init.c,garr,global,green,admissible,ported,
endtoend,aggregate-init.c,gc,global,green,admissible,ported,
endtoend,aggregate-init.c,gd,global,green,admissible,ported,
endtoend,aggregate-init.c,gi,global,green,admissible,ported,
endtoend,aggregate-init.c,gl,global,green,admissible,ported,
endtoend,aggregate-init.c,gov,global,green,admissible,ported,
endtoend,aggregate-init.c,gp,global,green,admissible,ported,
endtoend,aggregate-init.c,gpartial,global,green,admissible,ported,
endtoend,aggregate-init.c,gu,global,green,admissible,ported,
endtoend,aggregate-init.c,gwa,global,green,admissible,ported,
endtoend,aggregate-init.c,next_seed,function,green,admissible,ported,
endtoend,aggregate-init.c,printf,function,green,admissible,declared,
endtoend,array-params.c,bump,function,green,admissible,ported,
endtoend,array-params.c,c_main,function,green,admissible,ported,
endtoend,array-params.c,doubles,function,green,admissible,ported,
endtoend,array-params.c,first,function,green,admissible,ported,
endtoend,array-params.c,head4,function,green,admissible,ported,
endtoend,array-params.c,pick,function,green,admissible,ported,
endtoend,array-params.c,printf,function,green,admissible,declared,
endtoend,array-params.c,sum,function,green,admissible,ported,
endtoend,array-params.c,vbump,function,green,admissible,ported,
endtoend,array-self-ref-member-chain.c,c_main,function,green,admissible,ported,
endtoend,array-self-ref-member-chain.c,find,function,green,admissible,missing,
endtoend,array-self-ref-member-chain.c,link_node,function,green,admissible,missing,
endtoend,array-self-ref-member-chain.c,node,record,green,admissible,ported,
endtoend,array-self-ref-member-chain.c,printf,function,green,admissible,declared,
endtoend,array-self-ref-member-chain.c,set_rank,function,green,admissible,missing,
endtoend,array-self-ref-member-cross-param.c,c_main,function,green,admissible,ported,
endtoend,array-self-ref-member-cross-param.c,find,function,green,admissible,missing,
endtoend,array-self-ref-member-cross-param.c,link_node,function,green,admissible,missing,
endtoend,array-self-ref-member-cross-param.c,node,record,green,admissible,ported,
endtoend,array-self-ref-member-cross-param.c,printf,function,green,admissible,declared,
endtoend,array-self-ref-member-cross-param.c,set_rank,function,green,admissible,missing,
endtoend,array-self-ref-member-cross-param.c,unite,function,green,admissible,missing,
endtoend,array-self-ref-member.c,c_main,function,green,admissible,ported,
endtoend,array-self-ref-member.c,check_node,function,green,admissible,missing,
endtoend,array-self-ref-member.c,link_node,function,green,admissible,missing,
endtoend,array-self-ref-member.c,node,record,green,admissible,ported,
endtoend,array-self-ref-member.c,printf,function,green,admissible,declared,
endtoend,arrays-multidim.c,c_main,function,green,admissible,ported,
endtoend,arrays-multidim.c,g,global,green,admissible,ported,
endtoend,arrays-multidim.c,printf,function,green,admissible,declared,
endtoend,bitfields-flags.c,c_main,function,green,admissible,ported,
endtoend,bitfields-flags.c,ctrl,record,green,admissible,ported,
endtoend,bitfields-flags.c,gear,enum,green,admissible,ported,
endtoend,bitfields-flags.c,printf,function,green,admissible,declared,
endtoend,bitfields-zeroextend.c,c_main,function,green,admissible,ported,
endtoend,bitfields-zeroextend.c,c_tree_code,enum,green,admissible,ported,
endtoend,bitfields-zeroextend.c,convert_like_real,function,green,admissible,ported,
endtoend,bitfields-zeroextend.c,cplus_tree_code,enum,green,admissible,ported,
endtoend,bitfields-zeroextend.c,matched,function,green,admissible,ported,
endtoend,bitfields-zeroextend.c,printf,function,green,admissible,declared,
endtoend,bitfields-zeroextend.c,tree_code,enum,green,admissible,ported,
endtoend,bitfields-zeroextend.c,tree_common,record,green,admissible,ported,
endtoend,bitfields-zeroextend.c,tree_node,record,green,admissible,ported,
endtoend,bitwise.c,c_main,function,green,admissible,ported,
endtoend,bitwise.c,complement,function,green,admissible,ported,
endtoend,bitwise.c,compound,function,green,admissible,ported,
endtoend,bitwise.c,narrow,function,green,admissible,ported,
endtoend,bitwise.c,ops,function,green,admissible,ported,
endtoend,bitwise.c,printf,function,green,admissible,declared,
endtoend,bitwise.c,shifts,function,green,admissible,ported,
endtoend,byte-region-walk.c,S,record,green,admissible,missing,
endtoend,byte-region-walk.c,T,record,green,admissible,missing,
endtoend,byte-region-walk.c,UV,record,green,admissible,missing,
endtoend,byte-region-walk.c,V,record,green,admissible,missing,
endtoend,byte-region-walk.c,W,record,green,admissible,missing,
endtoend,byte-region-walk.c,c_main,function,green,admissible,ported,
endtoend,byte-region-walk.c,gt,global,green,admissible,ported,
endtoend,byte-region-walk.c,guv,global,green,admissible,ported,
endtoend,byte-region-walk.c,gw,global,green,admissible,ported,
endtoend,byte-region-walk.c,print_,function,green,admissible,ported,
endtoend,byte-region-walk.c,walk_w,function,green,admissible,ported,
endtoend,char-constants.c,c_main,function,green,admissible,ported,
endtoend,char-constants.c,classify,function,green,admissible,ported,
endtoend,char-constants.c,printf,function,green,admissible,declared,
endtoend,char-constants.c,putchar,function,green,admissible,declared,
endtoend,char-constants.c,puts,function,green,admissible,declared,
endtoend,compound-literals.c,S,record,green,admissible,ported,
endtoend,compound-literals.c,T,record,green,admissible,ported,
endtoend,compound-literals.c,c_main,function,green,admissible,ported,
endtoend,compound-literals.c,printf,function,green,admissible,declared,
endtoend,compound-literals.c,tu0_first_two,function,green,admissible,ported,
endtoend,compound-literals.c,tu0_make,function,green,admissible,ported,
endtoend,compound-literals.c,tu0_sum,function,green,admissible,ported,
endtoend,compound-promote.c,c_main,function,green,admissible,ported,
endtoend,compound-promote.c,float_cases,function,green,admissible,ported,
endtoend,compound-promote.c,g_byte,global,green,admissible,ported,
endtoend,compound-promote.c,global_and_value_position,function,green,admissible,ported,
endtoend,compound-promote.c,int_with_long_long,function,green,admissible,ported,
endtoend,compound-promote.c,printf,function,green,admissible,declared,
endtoend,compound-promote.c,short_cases,function,green,admissible,ported,
endtoend,compound-promote.c,signed_char_cases,function,green,admissible,ported,
endtoend,compound-promote.c,unsigned_char_cases,function,green,admissible,ported,
endtoend,cpp-basics.cpp,Pair,record,green,admissible,ported,
endtoend,cpp-basics.cpp,Point,record,green,admissible,ported,
endtoend,cpp-basics.cpp,c_linked_add,function,green,admissible,ported,
endtoend,cpp-basics.cpp,c_main,function,green,admissible,ported,
endtoend,cpp-basics.cpp,is_even,function,green,admissible,ported,
endtoend,cpp-basics.cpp,ns_shapes_area,function,green,admissible,ported,
endtoend,cpp-basics.cpp,ns_shapes_base_offset,global,green,admissible,ported,
endtoend,cpp-basics.cpp,ns_shapes_ns_detail_adjust,function,green,admissible,ported,
endtoend,cpp-basics.cpp,printf,function,green,admissible,declared,
endtoend,cpp-method-chain.cpp,Chain,record,green,admissible,ported,
endtoend,cpp-method-chain.cpp,Runs,record,green,admissible,ported,
endtoend,cpp-method-chain.cpp,c_main,function,green,admissible,ported,
endtoend,cpp-method-chain.cpp,printf,function,green,admissible,declared,
endtoend,cpp-method-chains.cpp,Acc,record,green,admissible,ported,
endtoend,cpp-method-chains.cpp,c_main,function,green,admissible,ported,
endtoend,cpp-method-chains.cpp,printf,function,green,admissible,declared,
endtoend,cpp-methods-overload.cpp,Multi,record,green,admissible,ported,
endtoend,cpp-methods-overload.cpp,c_main,function,green,admissible,ported,
endtoend,cpp-methods-overload.cpp,printf,function,green,admissible,declared,
endtoend,cpp-methods.cpp,Adder,record,green,admissible,ported,
endtoend,cpp-methods.cpp,Counter,record,green,admissible,ported,
endtoend,cpp-methods.cpp,c_main,function,green,admissible,ported,
endtoend,cpp-methods.cpp,printf,function,green,admissible,declared,
endtoend,cpp-references.cpp,Acc,record,green,admissible,ported,
endtoend,cpp-references.cpp,Pair,record,green,admissible,ported,
endtoend,cpp-references.cpp,Point,record,green,admissible,ported,
endtoend,cpp-references.cpp,bump,function,green,admissible,ported,
endtoend,cpp-references.cpp,c_main,function,green,admissible,ported,
endtoend,cpp-references.cpp,manhattan,function,green,admissible,ported,
endtoend,cpp-references.cpp,printf,function,green,admissible,declared,
endtoend,cpp-references.cpp,shift,function,green,admissible,ported,
endtoend,cpp-references.cpp,shift_twice,function,green,admissible,ported,
endtoend,cpp-references.cpp,span,function,green,admissible,ported,
endtoend,cpp-references.cpp,swap_ints,function,green,admissible,ported,
endtoend,cpp-references.cpp,twice,function,green,admissible,ported,
endtoend,cpp-stl-combined.cpp,c_main,function,green,admissible,ported,
endtoend,cpp-stl-combined.cpp,printf,function,green,admissible,declared,
endtoend,cpp-stl-combined.cpp,summarize,function,green,admissible,ported,
endtoend,cpp-this-fields.cpp,Box,record,green,admissible,ported,
endtoend,cpp-this-fields.cpp,c_main,function,green,admissible,ported,
endtoend,cpp-this-fields.cpp,printf,function,green,admissible,declared,
endtoend,enum-from-int.c,Fred,enum,green,admissible,ported,
endtoend,enum-from-int.c,Temp,enum,green,admissible,ported,
endtoend,enum-from-int.c,c_main,function,green,admissible,ported,
endtoend,enum-from-int.c,printf,function,green,admissible,declared,
endtoend,enum-from-int.c,tu0_deref_uint,function,green,admissible,ported,
endtoend,enum-int.c,Color,enum,green,admissible,ported,
endtoend,enum-int.c,Temp,enum,green,admissible,ported,
endtoend,enum-int.c,c_main,function,green,admissible,ported,
endtoend,enum-int.c,printf,function,green,admissible,declared,
endtoend,float-literals.c,c_main,function,green,admissible,ported,
endtoend,float-literals.c,combine,function,green,admissible,ported,
endtoend,float-literals.c,g_hex,global,green,admissible,ported,
endtoend,float-literals.c,printf,function,green,admissible,declared,
endtoend,float-negation.c,c_main,function,green,admissible,ported,
endtoend,float-negation.c,flip,function,green,admissible,ported,
endtoend,float-negation.c,flipf,function,green,admissible,ported,
endtoend,float-negation.c,printf,function,green,admissible,declared,
