corpus,project,symbol,kind,audit
c-realworld,binary-tree,tu0_insert,function,absent-from-crate
c-realworld,expr-eval,tu0_p,global,absent-from-crate
c-realworld,union-find,connected,function,present-in-crate
c-realworld,union-find,uf_find,function,present-in-crate
c-realworld,union-find,uf_node_init,function,present-in-crate
c-realworld,union-find,uf_union,function,present-in-crate
endtoend,array-self-ref-member-chain.c,find,function,present-in-crate
endtoend,array-self-ref-member-chain.c,link_node,function,present-in-crate
endtoend,array-self-ref-member-chain.c,set_rank,function,present-in-crate
endtoend,array-self-ref-member-cross-param.c,find,function,present-in-crate
endtoend,array-self-ref-member-cross-param.c,link_node,function,present-in-crate
endtoend,array-self-ref-member-cross-param.c,set_rank,function,present-in-crate
endtoend,array-self-ref-member-cross-param.c,unite,function,present-in-crate
endtoend,array-self-ref-member.c,check_node,function,present-in-crate
endtoend,array-self-ref-member.c,link_node,function,present-in-crate
endtoend,byte-region-walk.c,S,record,absent-from-crate
endtoend,byte-region-walk.c,T,record,absent-from-crate
endtoend,byte-region-walk.c,UV,record,absent-from-crate
endtoend,byte-region-walk.c,V,record,absent-from-crate
endtoend,byte-region-walk.c,W,record,absent-from-crate
endtoend,fnptr-devirt.c,fprintfptr,global,absent-from-crate
endtoend,fnptr-devirt.c,scaleptr,global,absent-from-crate
endtoend,multi-tu-gate-g3-owner-fallback.c,fill,function,present-in-crate
endtoend,multi-tu-gate-g3-owner-fallback.c,sum,function,present-in-crate
endtoend,multi-tu-gate-g3-owner-fallback.c,total,function,present-in-crate
endtoend,owner-index-return.c,bigger,function,present-in-crate
endtoend,owners.c,fill,function,present-in-crate
endtoend,owners.c,sum,function,present-in-crate
endtoend,owners.c,total,function,present-in-crate
endtoend,pointers-global.c,p,global,present-in-crate
endtoend,pointers-global.c,pair,global,present-in-crate
endtoend,pointers-member.c,go,global,absent-from-crate
endtoend,qualifiers.c,sum_restrict,function,present-in-crate
endtoend,union-find.c,connected,function,present-in-crate
endtoend,union-find.c,uf_find,function,present-in-crate
endtoend,union-find.c,uf_node_init,function,present-in-crate
endtoend,union-find.c,uf_union,function,present-in-crate
endtoend,varargs-monomorph.c,myprintf,function,absent-from-crate
c-testsuite,00045.c,p,global,absent-from-crate
c-testsuite,00149.c,s,global,absent-from-crate
c-testsuite,00150.c,s,global,absent-from-crate
c-testsuite,00189.c,f,global,absent-from-crate
c-testsuite,00189.c,fprintfptr,global,absent-from-crate
c-testsuite,00204.c,myprintf,function,absent-from-crate
c-testsuite,00209.c,e,global,absent-from-crate
c-testsuite,00209.c,e1,global,absent-from-crate
c-testsuite,00209.c,e2,global,absent-from-crate
c-testsuite,00209.c,s,global,absent-from-crate
c-testsuite,00209.c,s1,global,absent-from-crate
c-testsuite,00209.c,s2,global,absent-from-crate
c-testsuite,00216.c,S,record,absent-from-crate
c-testsuite,00216.c,SS,record,absent-from-crate
c-testsuite,00216.c,SU,record,absent-from-crate
c-testsuite,00216.c,T,record,absent-from-crate
c-testsuite,00216.c,U,record,absent-from-crate
c-testsuite,00216.c,UU,record,absent-from-crate
c-testsuite,00216.c,UV,record,absent-from-crate
c-testsuite,00216.c,V,record,absent-from-crate
c-testsuite,00216.c,W,record,absent-from-crate
c-testsuite,00216.c,contains_empty,record,absent-from-crate
c-testsuite,00216.c,empty_s,record,absent-from-crate
c-testsuite,00216.c,flowi6,record,absent-from-crate
c-testsuite,00216.c,in6_addr,record,absent-from-crate
c-testsuite,00216.c,pkthdr,record,absent-from-crate
