corpus,project,tus,strict_ok,strict_builds,incr_emitted,incr_builds,graph_items,ported,stubbed,dropped,missing,declared,ported_permille
cpp-realworld,extern-plugin,2,1,1,1,1,7,7,0,0,0,3,1000
cpp-realworld,fixed-stats,4,1,1,1,1,11,11,0,0,0,0,1000
cpp-realworld,polygon,2,0,0,1,1,8,4,4,0,0,0,500
cpp-realworld,ringbuf-lib,3,1,1,1,1,12,12,0,0,0,0,1000
cpp-realworld,shapes,3,0,0,1,1,7,1,1,5,0,0,142
cpp-realworld,tokenizer,3,1,1,1,1,5,5,0,0,0,0,1000
c-realworld,argv-echo,1,0,0,1,1,1,0,0,1,0,0,0
c-realworld,base64,1,1,1,1,1,1,1,0,0,0,0,1000
c-realworld,binary-tree,1,0,0,1,1,4,1,2,0,1,0,250
c-realworld,calc,2,1,1,1,1,4,4,0,0,0,0,1000
c-realworld,crc32,1,1,1,1,1,2,2,0,0,0,0,1000
c-realworld,expr-eval,1,0,0,1,1,6,0,5,0,1,0,0
c-realworld,grep-lite,1,0,0,1,1,1,0,1,0,0,0,0
c-realworld,linked-list,1,1,1,1,1,2,2,0,0,0,0,1000
c-realworld,logger,2,1,1,1,1,3,3,0,0,0,0,1000
c-realworld,malloc-stack,1,1,1,1,1,1,1,0,0,0,0,1000
c-realworld,sieve,1,1,1,1,1,1,1,0,0,0,0,1000
c-realworld,union-find,1,1,1,1,1,6,2,0,0,4,0,333
c-realworld,word-count,1,1,1,1,1,1,1,0,0,0,0,1000
endtoend,aggregate-init.c,1,1,1,1,1,14,14,0,0,0,1,1000
endtoend,array-params.c,1,1,1,1,1,8,8,0,0,0,1,1000
endtoend,array-self-ref-member-chain.c,1,1,1,1,1,5,2,0,0,3,1,400
endtoend,array-self-ref-member-cross-param.c,1,1,1,1,1,6,2,0,0,4,1,333
endtoend,array-self-ref-member.c,1,1,1,1,1,4,2,0,0,2,1,500
endtoend,arrays-multidim.c,1,1,1,1,1,2,2,0,0,0,1,1000
endtoend,bitfields-flags.c,1,1,1,1,1,3,3,0,0,0,1,1000
endtoend,bitfields-zeroextend.c,1,1,1,1,1,8,8,0,0,0,1,1000
endtoend,bitwise.c,1,1,1,1,1,6,6,0,0,0,1,1000
endtoend,byte-region-walk.c,1,1,1,1,1,11,6,0,0,5,0,545
endtoend,char-constants.c,1,1,1,1,1,2,2,0,0,0,3,1000
endtoend,compound-literals.c,1,1,1,1,1,6,6,0,0,0,1,1000
endtoend,compound-promote.c,1,1,1,1,1,8,8,0,0,0,1,1000
endtoend,cpp-basics.cpp,1,1,1,1,1,8,8,0,0,0,1,1000
endtoend,cpp-method-chain.cpp,1,1,1,1,1,3,3,0,0,0,1,1000
endtoend,cpp-method-chains.cpp,1,1,1,1,1,2,2,0,0,0,1,1000
endtoend,cpp-methods-overload.cpp,1,1,1,1,1,2,2,0,0,0,1,1000
endtoend,cpp-methods.cpp,1,1,1,1,1,3,3,0,0,0,1,1000
endtoend,cpp-references.cpp,1,1,1,1,1,11,11,0,0,0,1,1000
endtoend,cpp-stl-combined.cpp,1,1,1,1,1,2,2,0,0,0,1,1000
