project,max_nodes,probes,wall_ms,ported
cpp-realworld/polygon,1,1,675.8,4
cpp-realworld/polygon,2,2,902.4,4
cpp-realworld/polygon,4,4,1269.9,4
cpp-realworld/polygon,8,8,2050.0,4
cpp-realworld/polygon,16,16,3797.0,4
cpp-realworld/shapes,1,2,141.1,1
cpp-realworld/shapes,2,2,137.2,1
cpp-realworld/shapes,4,2,130.3,1
cpp-realworld/shapes,8,2,108.3,1
cpp-realworld/shapes,16,2,125.9,1
c-realworld/argv-echo,1,1,49.1,0
c-realworld/argv-echo,2,2,57.3,0
c-realworld/argv-echo,4,2,59.6,0
c-realworld/argv-echo,8,2,64.8,0
c-realworld/argv-echo,16,2,59.6,0
c-realworld/binary-tree,1,1,62.7,1
c-realworld/binary-tree,2,2,72.7,1
c-realworld/binary-tree,4,4,78.6,1
c-realworld/binary-tree,8,4,86.0,1
c-realworld/binary-tree,16,4,88.2,1
c-realworld/expr-eval,1,1,52.4,0
c-realworld/expr-eval,2,2,63.8,0
c-realworld/expr-eval,4,4,75.3,0
c-realworld/expr-eval,8,8,99.6,0
c-realworld/expr-eval,16,16,201.8,0
c-realworld/grep-lite,1,1,49.6,0
c-realworld/grep-lite,2,2,60.0,0
c-realworld/grep-lite,4,2,66.2,0
c-realworld/grep-lite,8,2,62.5,0
c-realworld/grep-lite,16,2,59.1,0
endtoend/incremental-builds.cpp,1,2,44.2,3
endtoend/incremental-builds.cpp,2,2,45.0,3
endtoend/incremental-builds.cpp,4,2,45.0,3
endtoend/incremental-builds.cpp,8,2,49.3,3
endtoend/incremental-builds.cpp,16,2,46.0,3
endtoend/recover-partial.cpp,1,1,36.6,3
endtoend/recover-partial.cpp,2,2,47.4,3
endtoend/recover-partial.cpp,4,4,56.0,3
endtoend/recover-partial.cpp,8,8,78.3,3
endtoend/recover-partial.cpp,16,8,83.3,3
synthetic/search-backtrack.cpp,1,1,42.2,
synthetic/search-backtrack.cpp,2,2,49.7,4
synthetic/search-backtrack.cpp,4,3,58.3,4
synthetic/search-backtrack.cpp,8,3,59.1,4
synthetic/search-backtrack.cpp,16,3,51.7,4
synthetic/search-false-red.cpp,1,2,44.3,4
synthetic/search-false-red.cpp,2,2,43.2,4
synthetic/search-false-red.cpp,4,2,45.0,4
synthetic/search-false-red.cpp,8,2,46.6,4
synthetic/search-false-red.cpp,16,2,44.7,4
synthetic/search-red.c,1,2,42.9,2
synthetic/search-red.c,2,2,42.6,2
synthetic/search-red.c,4,2,47.3,2
synthetic/search-red.c,8,2,42.2,2
synthetic/search-red.c,16,2,40.9,2
synthetic/search-false-green.c,1,1,33.8,1
synthetic/search-false-green.c,2,2,45.3,1
synthetic/search-false-green.c,4,4,53.0,1
synthetic/search-false-green.c,8,4,45.7,1
synthetic/search-false-green.c,16,4,53.8,1
synthetic/search-bound.c,1,1,34.0,
synthetic/search-bound.c,2,2,44.2,2
synthetic/search-bound.c,4,3,46.9,2
synthetic/search-bound.c,8,3,42.5,2
synthetic/search-bound.c,16,3,40.5,2
synthetic/search-determinism.c,1,1,46.0,
synthetic/search-determinism.c,2,2,45.0,4
synthetic/search-determinism.c,4,4,64.8,4
synthetic/search-determinism.c,8,7,83.1,4
synthetic/search-determinism.c,16,7,85.5,4
