order,sha,subject,date,corpus,project,mode_used,crate_emitted,crate_builds,graph_items,ported
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,argv-echo,--emit=crate,0,0,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,base64,--emit=crate,1,1,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,binary-tree,--emit=crate,0,0,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,calc,--emit=crate,1,1,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,crc32,--emit=crate,1,1,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,expr-eval,--emit=crate,0,0,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,grep-lite,--emit=crate,0,0,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,linked-list,--emit=crate,1,1,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,logger,--emit=crate,1,1,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,malloc-stack,--emit=crate,1,1,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,sieve,--emit=crate,1,1,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,union-find,--emit=crate,1,1,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,c,word-count,--emit=crate,1,1,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,cpp,fixed-stats,--emit=crate,1,1,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,cpp,polygon,--emit=crate,0,0,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,cpp,ringbuf-lib,--emit=crate,0,0,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,cpp,shapes,--emit=crate,0,0,,
1,54fe0fe,test(EndToEnd): widen C++ differential net with 3 in-subset byte-match tests,2026-07-27,cpp,tokenizer,--emit=crate,0,0,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,argv-echo,--emit=crate,0,0,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,base64,--emit=crate,1,1,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,binary-tree,--emit=crate,0,0,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,calc,--emit=crate,1,1,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,crc32,--emit=crate,1,1,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,expr-eval,--emit=crate,0,0,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,grep-lite,--emit=crate,0,0,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,linked-list,--emit=crate,1,1,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,logger,--emit=crate,1,1,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,malloc-stack,--emit=crate,1,1,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,sieve,--emit=crate,1,1,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,union-find,--emit=crate,1,1,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,c,word-count,--emit=crate,1,1,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,cpp,fixed-stats,--emit=crate,1,1,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,cpp,polygon,--emit=crate,0,0,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,cpp,ringbuf-lib,--emit=crate,0,0,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,cpp,shapes,--emit=crate,0,0,,
2,c3fbb13,W5.0: FR-46 C++ RealWorld demand corpus (4 projects) + runner C++ mode,2026-07-28,cpp,tokenizer,--emit=crate,0,0,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,argv-echo,--emit=crate,0,0,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,base64,--emit=crate,1,1,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,binary-tree,--emit=crate,0,0,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,calc,--emit=crate,1,1,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,crc32,--emit=crate,1,1,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,expr-eval,--emit=crate,0,0,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,grep-lite,--emit=crate,0,0,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,linked-list,--emit=crate,1,1,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,logger,--emit=crate,1,1,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,malloc-stack,--emit=crate,1,1,,
3,1f1dc8f,W5.7: FR-47 implicit-`this` method-call receiver,2026-07-28,c,sieve,--emit=crate,1,1,,
