corpus,project,tag,count
cpp-realworld,polygon,unsupported-stmt:CXXForRangeStmt,3
cpp-realworld,polygon,unsupported-expr:InitListExpr,1
cpp-realworld,shapes,cxx-cascaded-method,13
cpp-realworld,shapes,cxx-inheritance,3
cpp-realworld,shapes,cxx-destructor,1
cpp-realworld,shapes,ptr-to-ptr,1
cpp-realworld,shapes,rejected-type-cascade,1
c-realworld,argv-echo,argv,1
c-realworld,binary-tree,pointer-local-nonaddress,1
c-realworld,binary-tree,returned-pointer,1
c-realworld,binary-tree,self-ref-pointer-member,1
c-realworld,expr-eval,other,5
c-realworld,expr-eval,global-string-cursor,1
c-realworld,grep-lite,strchr-result-bind,1
endtoend,incremental-builds.cpp,cxx-destructor,1
endtoend,incremental-builds.cpp,cxx-inheritance,1
endtoend,incremental-builds.cpp,cxx-references,1
endtoend,recover-partial.cpp,other,3
