corpus,project,tag,count
cpp-realworld,polygon,unsupported-stmt:CXXForRangeStmt,3
cpp-realworld,polygon,unsupported-expr:InitListExpr,1
cpp-realworld,shapes,base-class,16
cpp-realworld,shapes,destructor,3
c-realworld,argv-echo,argv,1
c-realworld,binary-tree,pointer-local-nonaddress,1
c-realworld,binary-tree,returned-pointer,1
c-realworld,binary-tree,self-ref-pointer-member,1
c-realworld,expr-eval,other,5
c-realworld,expr-eval,global-string-cursor,1
c-realworld,grep-lite,strchr-result-bind,1
endtoend,incremental-builds.cpp,base-class,1
endtoend,incremental-builds.cpp,destructor,1
endtoend,incremental-builds.cpp,reference-type,1
endtoend,recover-partial.cpp,other,3
