corpus,project,tus,nodes,edges,graph_ms,coloring_ms,incremental_ms,cargo_ms,parse_floor_ms
cpp-realworld,extern-plugin,2,10,10,30.5,31.1,43.4,246.9,30.5
cpp-realworld,fixed-stats,4,11,14,43.1,48.8,70.3,603.8,43.1
cpp-realworld,polygon,2,8,13,267.4,273.9,475.0,634.0,267.4
cpp-realworld,ringbuf-lib,3,12,16,39.1,37.6,50.8,287.3,37.6
cpp-realworld,shapes,3,7,10,50.8,55.6,87.5,598.4,50.8
cpp-realworld,tokenizer,3,5,2,41.7,54.4,77.1,737.8,41.7
c-realworld,argv-echo,1,1,0,28.7,32.3,44.7,206.7,28.7
c-realworld,base64,1,1,0,28.9,31.0,48.4,631.1,28.9
c-realworld,binary-tree,1,4,9,30.3,33.0,48.8,611.7,30.3
c-realworld,calc,2,4,3,35.4,33.9,46.9,542.7,33.9
c-realworld,crc32,1,2,1,31.1,31.3,44.6,643.8,31.1
c-realworld,expr-eval,1,6,14,28.2,30.3,52.4,618.0,28.2
c-realworld,grep-lite,1,1,0,35.2,34.6,41.3,570.6,34.6
c-realworld,linked-list,1,2,2,36.4,39.6,45.0,668.6,36.4
c-realworld,logger,2,3,3,34.6,35.1,47.7,725.1,34.6
c-realworld,malloc-stack,1,1,0,31.3,33.1,50.8,575.7,31.3
c-realworld,sieve,1,1,0,30.8,32.2,45.0,613.7,30.8
c-realworld,union-find,1,6,14,36.9,35.0,49.6,695.7,35.0
c-realworld,word-count,1,1,0,32.6,34.3,45.0,621.0,32.6
endtoend,aggregate-init.c,1,15,18,29.5,28.6,50.6,782.8,28.6
endtoend,array-params.c,1,9,8,26.6,27.7,36.6,645.4,26.6
endtoend,array-self-ref-member-chain.c,1,6,10,27.3,26.1,40.5,657.2,26.1
endtoend,array-self-ref-member-cross-param.c,1,7,14,29.2,26.5,40.9,704.8,26.5
endtoend,array-self-ref-member.c,1,5,7,24.2,26.8,36.8,626.9,24.2
endtoend,arrays-multidim.c,1,3,2,24.4,27.3,39.8,694.0,24.4
endtoend,bitfields-flags.c,1,4,4,29.0,28.9,34.3,702.5,28.9
endtoend,bitfields-zeroextend.c,1,9,11,26.3,28.0,40.3,681.7,26.3
endtoend,bitwise.c,1,7,6,30.2,26.1,38.8,628.1,26.1
endtoend,byte-region-walk.c,1,11,21,34.5,35.0,53.9,786.5,34.5
endtoend,char-constants.c,1,5,4,26.6,25.6,39.1,748.2,25.6
endtoend,compound-literals.c,1,7,9,26.9,27.4,48.4,731.8,26.9
endtoend,compound-promote.c,1,9,14,26.9,28.7,41.6,722.9,26.9
endtoend,cpp-basics.cpp,1,9,8,27.1,26.0,37.5,666.0,26.0
endtoend,cpp-method-chain.cpp,1,4,3,33.0,27.0,46.9,648.7,27.0
endtoend,cpp-method-chains.cpp,1,3,2,30.0,31.2,39.2,675.1,30.0
endtoend,cpp-methods-overload.cpp,1,3,2,28.1,28.0,36.5,625.8,28.0
endtoend,cpp-methods.cpp,1,4,3,31.0,30.7,39.4,640.8,30.7
endtoend,cpp-references.cpp,1,12,17,32.4,31.3,46.0,698.3,31.3
endtoend,cpp-stl-combined.cpp,1,3,1,235.0,240.7,427.6,703.3,235.0
endtoend,cpp-this-fields.cpp,1,3,2,26.1,28.4,32.8,599.9,26.1
endtoend,enum-from-int.c,1,5,4,25.5,24.4,37.7,622.5,24.4
endtoend,enum-int.c,1,4,3,27.0,24.5,34.6,564.4,24.5
endtoend,float-literals.c,1,4,3,24.3,25.3,35.6,700.6,24.3
endtoend,float-negation.c,1,4,3,31.9,27.2,39.7,710.5,27.2
endtoend,float.c,1,3,2,28.2,26.8,38.1,742.5,26.8
endtoend,fn-pointers.c,1,12,15,30.0,28.0,39.2,683.6,28.0
endtoend,fnptr-devirt.c,1,4,3,37.5,34.9,50.3,672.2,34.9
endtoend,fnptr-noproto-infer.c,1,7,8,26.5,28.2,41.6,635.5,26.5
endtoend,fnptr-void-local.c,1,3,4,34.9,27.6,41.3,656.8,27.6
endtoend,func-name.c,1,7,7,30.0,28.7,40.9,704.6,28.7
endtoend,globals-string.c,1,8,10,29.5,26.2,46.5,712.6,26.2
endtoend,globals-writeback-order.c,1,16,26,30.1,29.2,33.6,841.5,29.2
endtoend,globals.c,1,12,23,25.9,29.9,40.3,802.8,25.9
endtoend,goto.c,1,8,8,31.0,25.1,39.6,637.1,25.1
endtoend,incremental-builds.cpp,1,7,5,29.6,28.5,37.4,617.8,28.5
endtoend,inline.c,1,6,8,28.4,26.2,35.9,612.3,26.2
endtoend,lib-crate-external-caller.c,1,8,6,27.6,25.7,39.1,252.9,25.7
endtoend,lib-crate-externals-trait.c,1,5,3,26.5,25.9,35.6,213.2,25.9
endtoend,libc-subset.c,1,2,1,57.5,46.2,79.9,866.4,46.2
endtoend,linked-list.c,1,2,2,33.2,32.8,57.2,640.0,32.8
endtoend,loops.c,1,2,1,28.5,27.7,38.2,634.5,27.7
endtoend,lostcopy-min.c,1,2,1,25.9,25.1,34.1,614.6,25.1
endtoend,lostcopy-nested-branch.c,1,4,4,31.0,29.4,42.2,623.4,29.4
endtoend,lostcopy-rotations.c,1,6,8,27.9,29.4,35.7,696.1,27.9
endtoend,malloc-stack.c,1,2,1,31.1,29.5,43.3,611.7,29.5
endtoend,math-sin.c,1,2,1,38.8,43.9,59.9,680.8,38.8
endtoend,missing-return-expect-carrier.c,1,6,8,27.4,28.0,24.9,644.5,27.4
endtoend,multi-tu-gate-g1-fnptr-result-erasure.c,2,8,9,29.4,29.5,40.9,636.8,29.4
endtoend,multi-tu-gate-g3-owner-fallback.c,2,6,6,32.9,32.5,39.9,669.5,32.5
endtoend,multi-tu-gate-g5-region-api.c,2,5,6,29.4,31.1,41.3,647.7,29.4
endtoend,multi-tu-gate-g6-cellslice-fn-external.c,2,6,7,32.8,28.3,38.8,651.0,28.3
endtoend,multi-tu-gate-g8-ptr-global-external.c,2,6,5,34.4,33.6,43.9,687.0,33.6
endtoend,multi-tu-gate-g8-shared-header.c,2,5,4,31.5,32.4,46.2,701.8,31.5
endtoend,multi-tu.c,2,7,7,29.1,29.3,39.7,614.9,29.1
