corpus,project,tus,nodes,edges,graph_ms,coloring_ms,incremental_ms,search_ms,probes,loadavg1
cpp-realworld,extern-plugin,2,10,10,31.9,30.9,44.3,52.3,1,3.61
cpp-realworld,fixed-stats,4,11,14,45.8,48.6,73.5,97.1,1,3.61
cpp-realworld,polygon,2,8,13,223.7,273.5,474.7,2026.7,8,3.47
cpp-realworld,ringbuf-lib,3,12,16,38.1,37.9,49.2,64.0,1,3.47
cpp-realworld,shapes,3,7,10,49.9,52.5,94.8,127.2,2,3.51
cpp-realworld,tokenizer,3,5,2,42.1,44.0,76.2,112.4,1,3.51
c-realworld,argv-echo,1,1,0,28.1,27.9,39.5,53.7,2,3.51
c-realworld,base64,1,1,0,34.8,29.9,44.8,58.8,1,3.51
c-realworld,binary-tree,1,4,9,36.1,38.5,48.7,82.4,4,3.63
c-realworld,calc,2,4,3,30.6,38.6,48.5,55.6,1,3.63
c-realworld,crc32,1,2,1,30.3,35.8,40.9,56.3,1,3.63
c-realworld,expr-eval,1,6,14,30.0,31.8,43.6,107.0,8,3.63
c-realworld,grep-lite,1,1,0,32.6,35.1,39.9,66.4,2,3.63
c-realworld,linked-list,1,2,2,30.1,33.6,47.7,59.3,1,3.66
c-realworld,logger,2,3,3,30.9,31.4,53.3,55.7,1,3.66
c-realworld,malloc-stack,1,1,0,37.7,30.1,47.2,51.4,1,3.66
c-realworld,sieve,1,1,0,33.7,31.2,41.9,47.3,1,3.66
c-realworld,union-find,1,6,14,32.9,28.7,41.8,50.7,1,3.66
c-realworld,word-count,1,1,0,28.1,28.4,47.8,52.8,1,3.45
synthetic,search-backtrack.cpp,2,5,4,31.9,27.4,31.4,58.3,3,3.45
synthetic,search-false-red.cpp,1,6,4,26.6,27.0,37.1,41.7,2,3.45
synthetic,search-red.c,1,5,3,29.6,29.7,30.1,46.2,2,3.45
synthetic,search-green.c,1,3,2,24.6,24.5,37.9,36.9,1,3.45
synthetic,search-false-green.c,1,3,2,25.6,28.3,32.6,50.7,4,3.45
synthetic,search-bound.c,1,3,2,27.2,24.0,24.0,48.4,3,3.45
synthetic,search-determinism.c,2,6,5,28.3,30.0,34.2,84.7,7,3.49
synthetic,search-cli.c,2,3,2,29.0,28.5,39.8,42.3,1,3.49
